iter	Passed	Remaining
0	1	137
1	2	104
2	3	107
3	4	118
4	5	104
5	6	104
6	7	104
7	9	103
8	10	103
9	11	102
10	12	101
11	13	100
12	15	101
13	16	100
14	17	99
15	18	98
16	19	97
17	21	95
18	22	94
19	23	93
20	24	92
21	25	91
22	26	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	84
28	34	83
29	34	81
30	35	80
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	44	71
38	45	70
39	46	69
40	47	68
41	48	67
42	49	65
43	50	64
44	51	63
45	53	62
46	54	60
47	55	59
48	56	58
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	64	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	72	40
64	73	39
65	74	38
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	91	24
79	92	23
80	93	21
81	94	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	114	2
98	115	1
99	116	0
